DATE,STS.M.I7.W.TOVT.NS0016.4.000
Jan-1-1995,66.19
Feb-1-1995,65.15
Mar-1-1995,74.48
Apr-1-1995,71.26
May-1-1995,67.63
Jun-1-1995,76.85
Jul-1-1995,68.62
Aug-1-1995,67.41
Sep-1-1995,90.18
Oct-1-1995,72.7
Nov-1-1995,77.97
Dec-1-1995,85.59
Jan-1-1996,68.06
Feb-1-1996,66.8
Mar-1-1996,77.88
Apr-1-1996,71.83
May-1-1996,69.73
Jun-1-1996,77.8
Jul-1-1996,70.26
Aug-1-1996,67.46
Sep-1-1996,92.5
Oct-1-1996,80.25
Nov-1-1996,82.81
Dec-1-1996,89.13
Jan-1-1997,71.03
Feb-1-1997,70.3
Mar-1-1997,83.68
Apr-1-1997,77.18
May-1-1997,72.83
Jun-1-1997,86.88
Jul-1-1997,78.67
Aug-1-1997,76.71
Sep-1-1997,98.31
Oct-1-1997,88.06
Nov-1-1997,93.12
Dec-1-1997,94.41
Jan-1-1998,76.69
Feb-1-1998,79.21
Mar-1-1998,92.74
Apr-1-1998,83.34
May-1-1998,82.08
Jun-1-1998,90.26
Jul-1-1998,83.15
Aug-1-1998,78.03
Sep-1-1998,102.73
Oct-1-1998,91.92
Nov-1-1998,91.33
Dec-1-1998,95.27
Jan-1-1999,85.21
Feb-1-1999,80.58
Mar-1-1999,99.85
Apr-1-1999,87.12
May-1-1999,83.33
Jun-1-1999,100.38
Jul-1-1999,91.13
Aug-1-1999,86.71
Sep-1-1999,112.68
Oct-1-1999,102.72
Nov-1-1999,103.37
Dec-1-1999,115.76
Jan-1-2000,97.69
Feb-1-2000,96.63
Mar-1-2000,114
Apr-1-2000,105.66
May-1-2000,102.84
Jun-1-2000,117.98
Jul-1-2000,108.66
Aug-1-2000,97.79
Sep-1-2000,131.65
Oct-1-2000,123.06
Nov-1-2000,126.82
Dec-1-2000,128.08
Jan-1-2001,107.71
Feb-1-2001,106.85
Mar-1-2001,127.59
Apr-1-2001,109.88
May-1-2001,106.02
Jun-1-2001,121.84
Jul-1-2001,107.75
Aug-1-2001,93.25
Sep-1-2001,121.47
Oct-1-2001,111.06
Nov-1-2001,114.99
Dec-1-2001,116.33
Jan-1-2002,97.58
Feb-1-2002,97.33
Mar-1-2002,117.34
Apr-1-2002,101.43
May-1-2002,97.56
Jun-1-2002,112.38
Jul-1-2002,98.4
Aug-1-2002,86.65
Sep-1-2002,116.4
Oct-1-2002,108.53
Nov-1-2002,112.88
Dec-1-2002,112.56
Jan-1-2003,93.65
Feb-1-2003,92.9
Mar-1-2003,108.07
Apr-1-2003,94.53
May-1-2003,92.38
Jun-1-2003,105.12
Jul-1-2003,98.2
Aug-1-2003,83.63
Sep-1-2003,112.8
Oct-1-2003,107.93
Nov-1-2003,112.78
Dec-1-2003,113.82
Jan-1-2004,95.34
Feb-1-2004,94.52
Mar-1-2004,110.97
Apr-1-2004,99.25
May-1-2004,97.58
